gene,gene_name,zscore,effect_size,pvalue,VAR_g,pred_perf_R2,pred_perf_p,pred_perf_q,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000228278,ORM2,-1.74195070695,-0.0984901082012,0.0815170700177,0.273210988166,0.377868989766,6.54841385315e-97,8.10612395299e-96,23,23,23
ENSG00000196169,KIF19,-1.74160663514,-0.0956867172991,0.0815772995363,0.0118331083148,0.0195308086708,2.05644904885e-05,3.42724160729e-05,16,16,16
ENSG00000198464,ZNF480,-1.74119088662,-0.0965506449003,0.0816501241791,0.00473021696399,0.00345951118856,0.0742471597923,0.0971883662914,8,9,9
ENSG00000057608,GDI2,1.74114685388,0.0947627782305,0.0816578402677,0.22569211435,0.333904899367,3.04685768843e-83,3.09646316469e-82,20,21,21
ENSG00000181982,CCDC149,1.74033710347,0.0939236766997,0.0817998425953,0.0496797518136,0.0832132900333,3.96470276763e-19,1.12058154833e-18,31,31,31
ENSG00000158406,HIST1H4H,-1.74025877713,-0.0963039561509,0.0818135889562,0.0876815363967,0.122760053686,5.08815266758e-28,1.82505606712e-27,15,15,15
ENSG00000147457,CHMP7,-1.74016903308,-0.0966568436027,0.0818293414417,0.0273219084082,0.0400702692126,8.67018412808e-10,1.77266369374e-09,36,36,36
ENSG00000123297,TSFM,-1.73847848268,-0.0926396204921,0.0821265383044,0.24219936696,0.319618349174,5.40515178414e-79,5.08508958207e-78,32,32,32
ENSG00000087077,TRIP6,1.73847789774,0.0912775221028,0.0821266412875,0.128072411672,0.172289530628,1.05596788786e-39,4.91107099258e-39,25,26,26
ENSG00000174165,ZDHHC24,-1.73847728528,-0.0931023831694,0.0821267491158,0.0444558538517,0.0348959554519,1.09766762207e-08,2.14215146692e-08,29,29,29
ENSG00000114861,FOXP1,-1.73769670657,-0.0988566738725,0.0822642693517,0.0053500889357,0.00643136908442,0.014862075016,0.020670368536,15,15,15
ENSG00000006007,GDE1,-1.73611767939,-0.0986898014617,0.0825430289584,0.206680561147,0.238906801121,1.55143258266e-56,1.00215392576e-55,43,43,43
ENSG00000138297,TIMM23,1.7354989604,0.0979367431423,0.0826524654738,0.0674152957807,0.0752544986654,2.21962229301e-17,5.92154045396e-17,22,22,22
ENSG00000145244,CORIN,-1.73522602881,-0.0932379347514,0.0827007778778,0.496789708322,0.551907655333,1.50547843199e-162,4.60061634055e-161,49,49,49
ENSG00000133874,RNF122,1.73503128927,0.0972001796604,0.0827352632724,0.0519165009033,0.0350788748728,1.00352818481e-08,1.9610489202e-08,71,71,71
ENSG00000146757,ZNF92,1.73458107421,0.0939225792257,0.0828150340946,0.00599867950789,0.00072151966774,0.415264848772,0.50210716269,11,11,11
ENSG00000173852,DPY19L1,1.73446108309,0.095979961488,0.0828363050958,0.248775487004,0.298595466141,6.71164012319e-73,5.64489221345e-72,24,24,24
ENSG00000132002,DNAJB1,1.7343168788,0.0978006822835,0.0828618742588,0.0481495169809,0.0676739538871,9.99193553858e-16,2.54159488178e-15,17,17,17
ENSG00000066427,ATXN3,1.7341671513,0.0963835467928,0.0828884295214,0.0529594301727,0.14212142379,1.6469421316e-32,6.54750220808e-32,27,28,28
ENSG00000133641,C12orf29,1.73408830883,0.0981004208087,0.0829024155793,0.00621803492326,0.0035415444861,0.0708926031648,0.0929451001675,15,16,16
ENSG00000175267,VWA3A,1.73316134143,0.0954473803292,0.0830669960443,0.00891601135914,0.00289740989129,0.102382282007,0.132320384292,25,25,25
ENSG00000136045,PWP1,-1.73313316877,-0.0906071432824,0.0830720021632,0.159955808679,0.217276694149,6.44975089707e-51,3.73898191308e-50,25,25,25
ENSG00000167380,ZNF226,1.73176620841,0.0910553415023,0.0833151969417,0.00282508478549,0.006936988319,0.0114069556982,0.0160103381821,6,6,6
ENSG00000120093,HOXB3,-1.73137251114,-0.0947024546688,0.0833853461626,0.468059796945,0.482493298921,9.52858678844e-134,2.04066693643e-132,70,71,71
ENSG00000166263,STXBP4,1.73066238876,0.0997842907368,0.0835119971667,0.0612099337867,0.102734335602,1.7936257412e-23,5.73116075627e-23,7,7,7
